feature,importance
time_gap_seq6_min,1820
userid,1519
time_gap_seq5_min,1331
type6_rate,1301
type5_rate,1126
time_std_6,1118
time_gap_gap_seq1_mean,972
time_gap_seq1_min,909
type1_rate,908
time_gap_gap_seq6_mean,895
time_gap_gap_seq5_std,868
time_gap_gap_seq6_min,864
time_std_1,815
time_std_5,809
time_gap_gap_seq5_mean,808
time_gap_seq6_mean,792
time_gap_seq5_mean*std,732
time_gap_gap_seq5_min,719
time_gap_gap_seq1_std,658
time_gap_seq5_std,643
time_gap_gap_seq1_max,639
time_gap_seq1_mean,638
time_gap_gap_seq5_max,633
province,600
action_time_gap_min,598
dist5,577
time_gap_seq5_mean,568
time_gap_gap_seq1_min,568
time_gap_last123_std,563
time_gap_gap_seq6_max,559
time_ptp_6,547
time_gap_seq6_max,546
time_min_6,529
time_gap1,520
time_gap_gap_seq7_min,508
time_gap6,502
type6_num,502
dist1,501
time_gap_seq7_min,475
time_gap_seq1_max,448
action_time_gap_std,447
time_gap_seq5_max,427
time_gap_last4,427
time_gap_last123_ptp,426
type5_num,425
time_min_1,423
time_gap_seq1_std,420
time_gap_gap_seq5_ptp,418
act_type_last4,414
action_time_gap_max,413
time_mean_1,411
time_mean_6,410
time_gap_seq1_mean*std,409
action_num,401
action_time_gap_mean,393
time_gap_gap_seq1_ptp,388
time_ptp_1,377
time_ptp_5,376
order_num,362
time_min_5,356
type1_num,354
time_gap_gap_seq6_std,352
time_mean_5,349
pos_num,342
action_time_gap_ptp,336
act_type_last3,330
time_gap_first1,312
time_gap_gap_seq7_mean,307
time_gap_seq5_ptp,303
time_gap_first2,295
time_gap_gap_seq2_mean,291
time_gap_seq7_mean,290
time_min_7,286
time_gap7,268
time_gap_gap_seq7_max,258
type7_rate,257
time_gap_seq6_std,252
time_gap_last2,251
time_gap5,251
act_type_last2,248
time_gap_gap_seq8_mean,243
time_gap_seq1_ptp,243
type4_rate,238
type2_rate,231
time_gap_seq6_mean*std,226
act_type_first2,225
time_std_2,225
time_gap_last3,214
dist4,207
dist8,202
time_gap_gap_seq4_mean,195
act_type_last1,193
time_gap_seq2_min,191
gender,190
rating,184
time_mean_7,184
time_gap_seq7_max,180
type8_rate,179
time_gap_gap_seq3_mean,178
time_gap_gap_seq6_ptp,175
time_gap_seq6_ptp,175
dist6,172
time_std_3,163
type3_rate,163
age,161
time_std_7,157
time_gap_seq8_mean,156
time_gap_last1,152
dist2,150
time_gap_gap_seq2_std,147
time_gap_seq8_min,147
time_ptp_8,145
time_gap8,143
time_gap_seq4_mean*std,142
comment_num,140
time_gap_seq2_mean,139
continent0,134
time_gap_gap_seq4_std,133
time_max_1,132
time_gap_gap_seq9_mean,132
time_gap2,131
time_gap_seq4_std,131
time_gap_last123_mean,131
time_stat_ptp,128
time_std_8,125
time_gap_last123_max,120
time_min_2,120
country27,119
time_ptp_7,119
time_mean_2,118
time_gap_seq2_std,116
time_min_8,115
act_type_first1,115
time_gap_gap_seq2_ptp,113
time_gap_gap_seq8_max,113
time_gap_seq4_min,113
time_std_4,112
time_ptp_3,112
type9_rate,111
time_gap_seq3_min,109
time_gap_seq4_mean,107
time_ptp_2,105
dist3,104
time_gap_seq3_mean,104
time_max_6,102
time_min_4,101
time_stat_std,101
time_gap_gap_seq8_min,98
time_gap_seq9_min,96
time_gap_seq2_mean*std,96
time_gap_gap_seq8_std,94
time_gap9,94
time_gap_gap_seq2_min,91
type2_num,90
time_min_3,90
time_gap_seq8_mean*std,88
time_ptp_4,87
time_mean_8,86
dist9,86
time_stat_min,83
if_pos,82
time_gap3,81
time_gap_seq8_std,80
time_gap_seq9_mean,79
type3_num,78
continent3,78
time_gap_seq3_mean*std,78
time_gap4,76
time_gap_gap_seq3_std,74
time_stat_mean,73
time_gap_gap_seq8_ptp,73
time_gap_gap_seq3_min,72
type4_num,71
time_mean_4,70
time_gap_seq2_max,69
time_gap_gap_seq2_max,67
time_max_7,64
country25,64
time_gap_seq4_max,64
time_gap_seq8_max,64
time_gap_seq3_std,61
country3,59
time_mean_3,58
time_gap_gap_seq4_min,57
time_max_5,56
time_std_9,52
time_gap_seq9_mean*std,52
time_ptp_9,51
time_min_9,50
continent4,49
time_gap_gap_seq4_max,48
time_gap_gap_seq7_std,48
time_gap_gap_seq3_ptp,44
time_gap_gap_seq4_ptp,44
city67,43
time_max_2,43
time_gap_gap_seq9_min,41
type7_num,40
time_max_8,39
time_gap_seq9_std,39
time_gap_seq8_ptp,38
time_gap_gap_seq3_max,37
time_gap_gap_seq9_std,34
time_mean_9,34
time_gap_gap_seq9_max,34
time_gap_seq7_std,33
type8_num,33
time_gap_seq3_max,32
dist7,32
time_gap_seq9_max,32
time_gap_seq2_ptp,31
time_gap_seq4_ptp,29
country39,28
time_gap_seq7_mean*std,27
time_max_3,26
city41,25
city121,24
time_gap_last123_min,24
time_gap_gap_seq9_ptp,24
city210,23
continent1,21
country33,20
pos_rate,20
country34,20
time_max_9,20
city141,18
city2,17
time_gap_gap_seq7_ptp,17
time_max_4,17
time_gap_seq9_ptp,17
time_gap_seq7_ptp,14
country46,14
city111,13
time_gap_seq3_ptp,13
country11,13
city89,12
country50,10
country1,10
city213,9
city211,9
type9_num,9
city118,8
city116,7
city39,7
time_stat_max,7
country31,5
city164,5
city60,5
country42,4
country49,4
city85,4
city144,2
city12,1
city175,1
city167,1
city57,1
country20,1
city139,1
